序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4714,9,中国宝安,7.8,-0.64,-0.05,99755,78054748.04,1.27,7.87,7.77,7.81,7.85,0.65,0.39,116.54,2.03,20117868927,19901156527,0.13,0,-9.09,-14.75
4715,688072,拓荆科技,158.98,-0.64,-1.02,15565,247078847,2.5,160.5,156.5,157.58,160,0.47,1,64.6,8.32,44471335180,24681421315,-0.07,0.11,4.85,3.46
4716,2865,钧达股份,39.47,-0.65,-0.26,36875,145963139,2.09,39.97,39.14,39.38,39.73,0.59,1.64,-21.35,2.39,9044619651,8875452771,-0.05,0.08,-24.55,-22.76
4717,603279,景津装备,16.93,-0.65,-0.11,29228,49944647,2,17.26,16.92,16.99,17.04,0.73,0.51,11.01,2.28,9759417010,9684762042,0,-0.06,0.77,-5.31
4718,2867,周大生,13.72,-0.65,-0.09,69567,95170505.01,3.26,13.97,13.52,13.79,13.81,0.83,0.64,13.19,2.42,15036108356,14948614695,0.15,0.29,7.78,-5.57
4719,688525,佰维存储,61.05,-0.65,-0.4,88977,551108824,2.78,62.71,61,61.38,61.45,0.68,2.8,160.3,6.52,28160266467,19371430079,-0.25,-0.39,3.26,-1.48
4720,906,浙商中拓,6.05,-0.66,-0.04,67274,40673487.08,2.13,6.11,5.98,6.05,6.09,0.59,0.96,8.88,0.91,4286798158,4247225622,0,-0.17,-0.98,-8.33
4721,600810,神马股份,7.51,-0.66,-0.05,75049,56522692,2.25,7.62,7.45,7.55,7.56,1.05,0.75,227.36,1.1,7623444273,7549651013,-0.13,0,-3.59,-7.17
4722,2664,信质集团,15.04,-0.66,-0.1,53156,80495858,2.18,15.3,14.97,15.05,15.14,0.45,1.32,52.75,1.77,6126658304,6042074668,0,-0.13,-0.66,6.97
4723,600108,亚盛集团,2.99,-0.66,-0.02,379330,113461889,1.66,3.01,2.96,2.98,3.01,0.4,1.95,119.87,1.37,5821276212,5821276212,-0.33,-0.33,7.94,2.05
4724,605378,野马电池,21.06,-0.66,-0.14,24188,51227093,1.93,21.36,20.95,21.06,21.2,0.67,1.3,25.23,3.14,3931396560,3931396560,-0.28,-0.33,4.05,2.23
4725,600536,中国软件,46.7,-0.66,-0.31,157802,740803694,1.7,47.35,46.55,46.6,47.01,0.37,1.87,-88.19,18.28,39693248703,39398730297,-0.11,-0.21,0.15,0.02
4726,600741,华域汽车,16.61,-0.66,-0.11,69208,114668611,0.84,16.65,16.51,16.61,16.72,0.59,0.22,8.78,0.87,52366745374,52366745374,-0.06,-0.06,2.09,-5.68
4727,300047,天源迪科,11.98,-0.66,-0.08,189681,228891879,3.4,12.21,11.8,11.9,12.06,0.71,3.45,329.27,2.34,7640181171,6585633788,-0.08,-0.17,4.63,1.96
4728,688298,东方生物,22.63,-0.66,-0.15,14408,32709056,1.8,22.94,22.53,22.69,22.78,0.65,0.71,-8.92,0.69,4562208000,4562208000,0,0.09,-21.56,-22.84
4729,600350,山东高速,10.39,-0.67,-0.07,65935,68167163,1.34,10.42,10.28,10.42,10.46,0.63,0.14,15.77,1.69,50413121850,50413121850,0.1,0,5.38,1.07
4730,600886,国投电力,14.81,-0.67,-0.1,260931,386060852,1.68,14.96,14.71,14.87,14.91,0.7,0.35,13.52,1.87,1.18547E+11,1.10396E+11,-0.07,-0.07,-1.46,-10.89
4731,601061,中信金属,7.38,-0.67,-0.05,72876,53961280,1.62,7.47,7.35,7.39,7.43,0.59,1.45,16.16,1.65,36162000000,3698515391,0,0,2.79,1.65
4732,2429,兆驰股份,4.44,-0.67,-0.03,290680,129248021.2,1.79,4.48,4.4,4.42,4.47,0.73,0.64,12.54,1.27,20099616295,20088038600,0,-0.22,-16.38,-23.18
4733,601880,辽港股份,1.48,-0.67,-0.01,495669,73444499,2.01,1.5,1.47,1.5,1.49,0.46,0.26,30.93,0.89,35380102510,27745202832,0,0,-8.64,-14.45
4734,2014,永新股份,11.85,-0.67,-0.08,29349,34706629.69,1.51,11.9,11.72,11.9,11.93,0.64,0.49,15.52,3.28,7258028612,7161385345,0,-0.17,17.09,8.12
4735,300098,高新兴,4.45,-0.67,-0.03,198464,88907515.06,2.23,4.52,4.42,4.44,4.48,0.58,1.29,-126.1,2.73,7733131124,6860759140,-0.22,-0.22,-19.68,-18.8
4736,300052,ST中青宝,8.91,-0.67,-0.06,71038,63500370.69,2.45,9.04,8.82,8.83,8.97,0.57,2.71,-48.12,5.25,2333161106,2333094281,-0.11,-0.11,-45.97,-46.9
4737,2717,岭南股份,2.98,-0.67,-0.02,1143487,345164972,6,3.13,2.95,3.08,3,0.82,7.14,-14.97,2.78,5424296003,4770256098,0.34,0,-14.86,-7.74
4738,301231,荣信文化,26.24,-0.68,-0.18,30685,79937450.97,3.67,26.67,25.7,26.1,26.42,0.68,5.69,-66.49,2.51,2214656000,1414336000,-0.15,-0.27,52.38,45.94
